#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# http://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: alphaBoySpriteSheet.png (1192 x 992)
# $TexturePacker:SmartUpdate:80d1afc9fb31208b40896a83af669a88:1db5ed0f5069bad7e14ac15dcd64699a:e88166e2a20edc8416008044882a5e73$
#

walkBack0;0;937;602;126;191;126;191;0.5;0.5
walkBack1;0;921;799;128;191;128;191;0.5;0.5
walkBack2;1;598;803;189;130;130;189;0.5;0.5
walkBack3;0;1;805;130;186;130;186;0.5;0.5
walkBack4;0;466;805;130;183;130;183;0.5;0.5
walkBack5;0;133;805;130;186;130;186;0.5;0.5
walkBack6;0;789;801;130;189;130;189;0.5;0.5
walkBack7;0;1051;795;128;191;128;191;0.5;0.5
walkBack8;0;1065;598;126;191;126;191;0.5;0.5
walkFront0;0;709;403;133;197;133;197;0.5;0.5
walkFront1;0;886;200;133;197;133;197;0.5;0.5
walkFront2;0;669;604;132;195;132;195;0.5;0.5
walkFront3;0;886;1;135;197;135;197;0.5;0.5
walkFront4;0;1023;1;133;197;133;197;0.5;0.5
walkFront5;0;532;604;135;197;135;197;0.5;0.5
walkFront6;0;803;602;132;195;132;195;0.5;0.5
walkFront7;0;1021;200;133;197;133;197;0.5;0.5
walkFront8;0;844;403;133;197;133;197;0.5;0.5
walkFront9;0;979;399;133;197;133;197;0.5;0.5
walkLeft0;0;1;1;175;199;175;199;0.5;0.5
walkLeft1;0;1;202;175;199;175;199;0.5;0.5
walkLeft2;0;178;1;175;199;175;199;0.5;0.5
walkLeft3;0;1;403;175;199;175;199;0.5;0.5
walkLeft4;0;178;202;175;199;175;199;0.5;0.5
walkLeft5;0;355;1;175;199;175;199;0.5;0.5
walkLeft6;0;1;604;175;199;175;199;0.5;0.5
walkLeft7;0;178;403;175;199;175;199;0.5;0.5
walkLeft8;0;355;202;175;199;175;199;0.5;0.5
walkRight0;0;532;1;175;199;175;199;0.5;0.5
walkRight1;0;178;604;175;199;175;199;0.5;0.5
walkRight2;0;355;403;175;199;175;199;0.5;0.5
walkRight3;0;532;202;175;199;175;199;0.5;0.5
walkRight4;0;709;1;175;199;175;199;0.5;0.5
walkRight5;0;355;604;175;199;175;199;0.5;0.5
walkRight6;1;265;805;199;175;175;199;0.5;0.5
walkRight7;0;532;403;175;199;175;199;0.5;0.5
walkRight8;0;709;202;175;199;175;199;0.5;0.5
