#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# http://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: spritesheet.png (276 x 64)
# $TexturePacker:SmartUpdate:d03dea6d210240a32f8769275dbca912:42811d894c1d9cc491595f1aefa87b2e:cbd37b8a94afd0ccb7cfdf31b976583d$
#

sprite0;0;1;1;7;32;7;32;0.5;0.5
sprite1;0;249;48;22;11;22;11;0.5;0.5
sprite2;0;249;26;22;20;22;20;0.5;0.5
sprite3;0;179;29;21;25;21;25;0.5;0.5
sprite4;0;194;1;21;25;21;25;0.5;0.5
sprite5;0;202;28;20;25;20;25;0.5;0.5
sprite6;1;224;28;23;24;24;23;0.5;0.5
sprite7;0;217;1;16;25;16;25;0.5;0.5
sprite8;0;235;1;21;23;21;23;0.5;0.5
sprite9;0;41;1;26;31;26;31;0.5;0.5
sprite10;1;69;1;25;31;31;25;0.5;0.5
sprite11;1;62;34;23;29;29;23;0.5;0.5
sprite12;1;167;1;25;26;26;25;0.5;0.5
sprite13;1;105;33;23;30;30;23;0.5;0.5
sprite14;0;10;1;29;31;29;31;0.5;0.5
sprite15;1;140;1;25;27;27;25;0.5;0.5
sprite16;1;1;35;31;28;28;31;0.5;0.5
sprite17;0;34;34;26;29;26;29;0.5;0.5
sprite18;1;130;32;23;28;28;23;0.5;0.5
sprite19;0;87;34;16;29;16;29;0.5;0.5
sprite20;0;122;1;16;29;16;29;0.5;0.5
sprite21;0;96;1;24;30;24;30;0.5;0.5
sprite22;0;258;1;16;23;16;23;0.5;0.5
sprite23;1;155;30;22;27;27;22;0.5;0.5
